section,key,value
train_cell,Highly dynamic operation dataset::01_LMFH #1,
train_cell,Highly dynamic operation dataset::10_MFHL #3,
train_cell,Highly dynamic operation dataset::14_FLHM #5,
train_cell,Highly dynamic operation dataset::17_FHLM #6,
train_cell,Highly dynamic operation dataset::19_HLMF #7,
train_cell,Highly dynamic operation dataset::21_HMLF #8,
train_cell,Path-dependent degradation dataset::01_LMFH #1,
train_cell,Path-dependent degradation dataset::01_LMFH #2,
train_cell,Path-dependent degradation dataset::01_LMFH #3,
train_cell,Path-dependent degradation dataset::02_LMHF #1,
train_cell,Path-dependent degradation dataset::02_LMHF #2,
train_cell,Path-dependent degradation dataset::03_LFMH #1,
train_cell,Path-dependent degradation dataset::03_LFMH #2,
train_cell,Path-dependent degradation dataset::04_LFHM #1,
train_cell,Path-dependent degradation dataset::04_LFHM #2,
train_cell,Path-dependent degradation dataset::04_LFHM #3,
train_cell,Path-dependent degradation dataset::05_LHMF #1,
train_cell,Path-dependent degradation dataset::05_LHMF #3,
train_cell,Path-dependent degradation dataset::06_LHFM #2,
train_cell,Path-dependent degradation dataset::07_MLHF #2,
train_cell,Path-dependent degradation dataset::07_MLHF #3,
train_cell,Path-dependent degradation dataset::08_MLFH #1,
train_cell,Path-dependent degradation dataset::08_MLFH #2,
train_cell,Path-dependent degradation dataset::08_MLFH #3,
train_cell,Path-dependent degradation dataset::09_MFLH #1,
train_cell,Path-dependent degradation dataset::09_MFLH #3,
train_cell,Path-dependent degradation dataset::10_MFHL #1,
train_cell,Path-dependent degradation dataset::10_MFHL #2,
train_cell,Path-dependent degradation dataset::10_MFHL #3,
train_cell,Path-dependent degradation dataset::11_MHLF #3,
train_cell,Path-dependent degradation dataset::13_FLMH #1,
train_cell,Path-dependent degradation dataset::13_FLMH #2,
train_cell,Path-dependent degradation dataset::14_FLHM #1,
train_cell,Path-dependent degradation dataset::14_FLHM #2,
train_cell,Path-dependent degradation dataset::14_FLHM #3,
train_cell,Path-dependent degradation dataset::15_FMLH #1,
train_cell,Path-dependent degradation dataset::15_FMLH #3,
train_cell,Path-dependent degradation dataset::16_FMHL #1,
train_cell,Path-dependent degradation dataset::16_FMHL #3,
train_cell,Path-dependent degradation dataset::17_FHLM #2,
train_cell,Path-dependent degradation dataset::17_FHLM #3,
train_cell,Path-dependent degradation dataset::18_FHML #1,
train_cell,Path-dependent degradation dataset::18_FHML #3,
train_cell,Path-dependent degradation dataset::19_HLMF #1,
train_cell,Path-dependent degradation dataset::19_HLMF #2,
train_cell,Path-dependent degradation dataset::19_HLMF #3,
train_cell,Path-dependent degradation dataset::20_HLFM #1,
train_cell,Path-dependent degradation dataset::20_HLFM #2,
train_cell,Path-dependent degradation dataset::20_HLFM #3,
train_cell,Path-dependent degradation dataset::21_HMLF #1,
train_cell,Path-dependent degradation dataset::22_HMFL #1,
train_cell,Path-dependent degradation dataset::22_HMFL #2,
train_cell,Path-dependent degradation dataset::22_HMFL #3,
train_cell,Path-dependent degradation dataset::23_HFLM #2,
train_cell,Path-dependent degradation dataset::23_HFLM #3,
train_cell,Path-dependent degradation dataset::24_HFML #2,
train_cell,Path-dependent degradation dataset::24_HFML #3,
test_cell,Highly dynamic operation dataset::03_LFMH #2,
test_cell,Highly dynamic operation dataset::12_MHFL #4,
test_cell,Path-dependent degradation dataset::02_LMHF #3,
test_cell,Path-dependent degradation dataset::03_LFMH #3,
test_cell,Path-dependent degradation dataset::05_LHMF #2,
test_cell,Path-dependent degradation dataset::06_LHFM #1,
test_cell,Path-dependent degradation dataset::06_LHFM #3,
test_cell,Path-dependent degradation dataset::07_MLHF #1,
test_cell,Path-dependent degradation dataset::09_MFLH #2,
test_cell,Path-dependent degradation dataset::11_MHLF #1,
test_cell,Path-dependent degradation dataset::11_MHLF #2,
test_cell,Path-dependent degradation dataset::12_MHFL #1,
test_cell,Path-dependent degradation dataset::12_MHFL #2,
test_cell,Path-dependent degradation dataset::12_MHFL #3,
test_cell,Path-dependent degradation dataset::13_FLMH #3,
test_cell,Path-dependent degradation dataset::15_FMLH #2,
test_cell,Path-dependent degradation dataset::16_FMHL #2,
test_cell,Path-dependent degradation dataset::17_FHLM #1,
test_cell,Path-dependent degradation dataset::18_FHML #2,
test_cell,Path-dependent degradation dataset::21_HMLF #2,
test_cell,Path-dependent degradation dataset::21_HMLF #3,
test_cell,Path-dependent degradation dataset::23_HFLM #1,
test_cell,Path-dependent degradation dataset::24_HFML #1,
metric,row_rmse_percent,0.031150851257979874
metric,row_mae_percent,0.024516792349480787
metric,n_rows,713
metric,n_cells,23
dataset_metric::Highly dynamic operation dataset,rmse_percent,0.02055181186314918
dataset_metric::Highly dynamic operation dataset,mae_percent,0.01811818112127473
dataset_metric::Highly dynamic operation dataset,n_cells,2
dataset_metric::Highly dynamic operation dataset,n_rows,62
dataset_metric::Path-dependent degradation dataset,rmse_percent,0.03197758392144151
dataset_metric::Path-dependent degradation dataset,mae_percent,0.025126183895024225
dataset_metric::Path-dependent degradation dataset,n_cells,21
dataset_metric::Path-dependent degradation dataset,n_rows,651
